createdat,createdby,modifiedat,modifiedby,cuentagastoadistribuir_id,factordistribucion_id,sociedadfi_codigo,plancuenta_codigo,centrocosto_codigo,centrologistico_codigo,tipodistribucion_codigo,indicadorcuenta,ejercicio,moneda_code,importep1,importep2,importep3,importep4,importep5,importep6,importep7,importep8,importep9,importep10,importep11,importep12,importetotal,empleado_codigo,bloqueouser,bloqueoadmin,escenario,gasto_id
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,51a1f206-9cad-4cf1-8629-b0cb1eb239d9,1000,6233505002,1123900003,,SGV,GTOSEGURVE,2025,HNL,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,1507.2113,,,f,f,1,4746a0bf-cda6-423e-96c8-f9e67c167ede
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,4d115e73-0de5-4325-a4fc-d7edd959c930,1000,6233505002,1129900099,,SGV,GTOSEGURVE,2025,HNL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,f,f,1,fd8ccda1-4b44-43de-9675-586449883417
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,f3b37de6-e293-4182-b2cd-f14a69472a28,1000,6233505002,1140000001,,SGV,GTOSEGURVE,2025,HNL,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,,,f,f,1,b9604044-33c7-446f-b93b-842eb2301c77
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,a93dfdd1-7f3a-43f1-b046-95fd6a8001b1,1000,6233505002,1140000006,,SGV,GTOSEGURVE,2025,HNL,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,4521.6339,,,f,f,1,e7276962-a0dd-4548-8657-b27d904ca156
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,f4a344d2-9f10-4001-83f0-fa2235df1a26,1000,7114505002,1111300002,,SGV,GTOSEGURVE,2025,HNL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,f,f,1,eb145f3f-6d53-4983-95f7-78118df7084d
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,4926f7a4-deb1-4c4d-95fa-e24adba0d430,1000,6233505002,1123900002,,SGV,GTOSEGURVE,2025,HNL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,f,f,1,f7d45c29-2a9b-4554-9142-fbd0b981ce9b
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,0a9e5d69-99d9-4084-9605-72f45472ba0a,1000,7114505002,1113000004,,SGV,GTOSEGURVE,2025,HNL,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,123635.6556,,,f,f,1,2788f8e9-8c5c-4eb8-bbfc-9ecde2c38cdb
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,d318e0f3-f79e-49a8-923c-f22283f48db9,1000,7114505002,1113000005,,SGV,GTOSEGURVE,2025,HNL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,f,f,1,14a4dca0-68f3-4158-8bd8-ac76ebb87ba6
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,4446af9e-bc77-417c-af02-b5de15c27632,1000,7114505002,1111400001,,SGV,GTOSEGURVE,2025,HNL,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,14.7766,,,f,f,1,b42a88e1-d874-4264-9d33-0c2b8d67d749
2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,fabe024d-4463-4be0-b9e5-c3d146036229,529632c6-e20f-48dc-88c2-6717fe4955e2,1000,7114505002,1113000001,,SGV,GTOSEGURVE,2025,HNL,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,13564.9016,,,f,f,1,ffee9cbb-ad9f-43f2-b48d-ea0cf02f9c14
